0,1,2,3,4,5,6,7,8,9,10
rolls/buns,ice cream,,,,,,,,,
white bread,butter,,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
other vegetables,whole milk,yogurt,bottled water,,,,,,,
other vegetables,UHT-milk,curd,,,,,,,,
other vegetables,soda,,,,,,,,,
pork,frozen fish,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
root vegetables,berries,coffee,bottled beer,rice,,,,,,
other vegetables,semi-finished bread,other vegetables,rolls/buns,shopping bags,salty snack,,,,,
condensed milk,processed cheese,rolls/buns,,,,,,,,
root vegetables,rolls/buns,salty snack,,,,,,,,
finished products,pork,onions,pasta,tropical fruit,soda,pastry,,,,
soft cheese,frozen vegetables,,,,,,,,,
fish,canned beer,,,,,,,,,
butter,brown bread,,,,,,,,,
bottled water,oil,sausage,bottled beer,rolls/buns,bottled water,waffles,tropical fruit,frozen meals,,
soda,newspapers,,,,,,,,,
pickled vegetables,bottled beer,,,,,,,,,
herbs,packaged fruit/vegetables,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
sauces,frozen vegetables,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
canned beer,butter,margarine,domestic eggs,,,,,,,
curd,liquor (appetizer),,,,,,,,,
pork,male cosmetics,pastry,chewing gum,brandy,,,,,,
chicken,rolls/buns,,,,,,,,,
pork,whole milk,other vegetables,tidbits,coffee,,,,,,
Instant food products,whipped/sour cream,,,,,,,,,
white bread,whipped/sour cream,,,,,,,,,
pork,canned beer,,,,,,,,,
salty snack,semi-finished bread,sliced cheese,,,,,,,,
onions,dish cleaner,,,,,,,,,
bottled beer,jam,male cosmetics,dessert,,,,,,,
tropical fruit,ice cream,,,,,,,,,
tropical fruit,hard cheese,,,,,,,,,
whole milk,root vegetables,sausage,frozen vegetables,chocolate,,,,,,
butter milk,whole milk,brandy,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
curd,salty snack,,,,,,,,,
white wine,cat food,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
ham,bottled water,,,,,,,,,
soda,rolls/buns,,,,,,,,,
whole milk,whole milk,pastry,,,,,,,,
pork,light bulbs,waffles,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
processed cheese,other vegetables,,,,,,,,,
oil,coffee,,,,,,,,,
butter,citrus fruit,,,,,,,,,
other vegetables,dessert,,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
tropical fruit,coffee,newspapers,,,,,,,,
dessert,rolls/buns,,,,,,,,,
tropical fruit,sausage,dog food,sweet spreads,,,,,,,
whole milk,napkins,flour,,,,,,,,
herbs,whole milk,,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
butter,root vegetables,,,,,,,,,
newspapers,pork,root vegetables,napkins,,,,,,,
pip fruit,canned beer,,,,,,,,,
whole milk,yogurt,UHT-milk,specialty chocolate,,,,,,,
canned beer,pastry,,,,,,,,,
other vegetables,bottled water,beverages,,,,,,,,
fruit/vegetable juice,baking powder,oil,,,,,,,,
pip fruit,margarine,,,,,,,,,
frankfurter,other vegetables,cream cheese ,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
soda,citrus fruit,,,,,,,,,
newspapers,soda,,,,,,,,,
bottled beer,tropical fruit,yogurt,berries,,,,,,,
brown bread,pastry,,,,,,,,,
berries,pastry,shopping bags,,,,,,,,
berries,margarine,,,,,,,,,
pork,whole milk,,,,,,,,,
ice cream,waffles,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
candy,canned fish,,,,,,,,,
sausage,bottled beer,misc. beverages,,,,,,,,
sugar,soda,,,,,,,,,
chocolate,liquor,,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
canned beer,roll products ,root vegetables,flower (seeds),,,,,,,
vinegar,rolls/buns,,,,,,,,,
chicken,pork,newspapers,,,,,,,,
bottled water,whole milk,,,,,,,,,
chicken,rolls/buns,yogurt,pastry,,,,,,,
root vegetables,butter milk,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
instant coffee,butter,,,,,,,,,
ham,pickled vegetables,newspapers,,,,,,,,
pastry,other vegetables,,,,,,,,,
soda,pasta,,,,,,,,,
other vegetables,cream cheese ,liquor,root vegetables,newspapers,hard cheese,,,,,
brown bread,curd,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
pork,cake bar,,,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
whipped/sour cream,bottled water,,,,,,,,,
rolls/buns,salty snack,bottled water,shopping bags,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
meat,other vegetables,,,,,,,,,
grapes,whipped/sour cream,,,,,,,,,
meat,other vegetables,margarine,,,,,,,,
white bread,soda,,,,,,,,,
ham,rolls/buns,,,,,,,,,
soda,margarine,,,,,,,,,
tropical fruit,berries,whole milk,soap,,,,,,,
beverages,other vegetables,brown bread,,,,,,,,
bottled water,rolls/buns,waffles,,,,,,,,
frankfurter,pip fruit,meat,coffee,other vegetables,shopping bags,brown bread,curd,,,
pork,hygiene articles,,,,,,,,,
rolls/buns,tropical fruit,salt,butter,whole milk,canned vegetables,domestic eggs,,,,
beverages,fruit/vegetable juice,,,,,,,,,
soda,cake bar,,,,,,,,,
pet care,brown bread,,,,,,,,,
root vegetables,waffles,whipped/sour cream,,,,,,,,
bottled beer,pip fruit,butter,specialty bar,detergent,specialty bar,,,,,
butter,photo/film,,,,,,,,,
seasonal products,other vegetables,bottled water,,,,,,,,
hamburger meat,detergent,flour,,,,,,,,
condensed milk,pork,whole milk,pastry,,,,,,,
pip fruit,whole milk,whole milk,,,,,,,,
citrus fruit,cake bar,,,,,,,,,
whipped/sour cream,other vegetables,shopping bags,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
soda,shopping bags,,,,,,,,,
prosecco,dessert,,,,,,,,,
onions,bottled beer,,,,,,,,,
canned beer,bottled water,,,,,,,,,
bottled water,long life bakery product,rolls/buns,,,,,,,,
domestic eggs,root vegetables,,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
frankfurter,ketchup,,,,,,,,,
butter,red/blush wine,,,,,,,,,
beef,whole milk,newspapers,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
dessert,tropical fruit,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
finished products,margarine,whipped/sour cream,,,,,,,,
frankfurter,waffles,,,,,,,,,
dessert,bottled beer,,,,,,,,,
coffee,bottled water,liqueur,,,,,,,,
tropical fruit,berries,,,,,,,,,
tropical fruit,soda,,,,,,,,,
beef,root vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,bottled beer,,,,,,,,,
beef,sugar,,,,,,,,,
onions,curd,,,,,,,,,
domestic eggs,specialty bar,,,,,,,,,
onions,oil,,,,,,,,,
specialty bar,bottled beer,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
frankfurter,dessert,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
other vegetables,soda,,,,,,,,,
pastry,soda,,,,,,,,,
finished products,domestic eggs,,,,,,,,,
tropical fruit,pastry,salty snack,,,,,,,,
pastry,rolls/buns,,,,,,,,,
pip fruit,candy,,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
soda,napkins,,,,,,,,,
soda,ice cream,,,,,,,,,
root vegetables,rolls/buns,flower (seeds),,,,,,,,
brown bread,sugar,,,,,,,,,
UHT-milk,cooking chocolate,,,,,,,,,
pastry,pastry,,,,,,,,,
whole milk,butter milk,,,,,,,,,
rolls/buns,semi-finished bread,fruit/vegetable juice,,,,,,,,
citrus fruit,red/blush wine,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
detergent,rolls/buns,yogurt,,,,,,,,
yogurt,shopping bags,bottled water,,,,,,,,
chicken,whole milk,,,,,,,,,
beef,ice cream,,,,,,,,,
pastry,hard cheese,,,,,,,,,
sausage,bottled beer,bottled water,,,,,,,,
chicken,finished products,meat,fruit/vegetable juice,,,,,,,
frankfurter,domestic eggs,,,,,,,,,
bottled water,yogurt,,,,,,,,,
soda,bottled water,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
whole milk,pastry,,,,,,,,,
whipped/sour cream,red/blush wine,,,,,,,,,
pork,tropical fruit,,,,,,,,,
butter milk,bottled beer,rice,canned vegetables,,,,,,,
yogurt,soft cheese,herbs,rolls/buns,,,,,,,
chocolate,rolls/buns,,,,,,,,,
napkins,whole milk,,,,,,,,,
chicken,pastry,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
ketchup,whole milk,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
root vegetables,bottled beer,fruit/vegetable juice,,,,,,,,
soda,soft cheese,,,,,,,,,
pork,grapes,,,,,,,,,
curd,domestic eggs,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
citrus fruit,canned beer,waffles,chocolate,dish cleaner,,,,,,
dessert,processed cheese,UHT-milk,,,,,,,,
dessert,whole milk,waffles,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
soda,whole milk,,,,,,,,,
hard cheese,margarine,rolls/buns,,,,,,,,
sausage,salty snack,brown bread,white bread,candles,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
napkins,yogurt,,,,,,,,,
pastry,chocolate,,,,,,,,,
yogurt,newspapers,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
tropical fruit,soda,whipped/sour cream,,,,,,,,
pasta,rolls/buns,margarine,canned fish,yogurt,,,,,,
meat,whole milk,whipped/sour cream,,,,,,,,
salty snack,napkins,yogurt,brown bread,,,,,,,
napkins,butter milk,cat food,shopping bags,,,,,,,
UHT-milk,canned beer,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
soda,specialty chocolate,,,,,,,,,
pip fruit,other vegetables,bottled water,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
newspapers,chocolate,,,,,,,,,
newspapers,beverages,beef,chocolate,kitchen towels,,,,,,
pork,tropical fruit,pip fruit,brown bread,,,,,,,
rolls/buns,jam,cake bar,,,,,,,,
tidbits,berries,,,,,,,,,
grapes,herbs,,,,,,,,,
citrus fruit,butter milk,,,,,,,,,
pastry,bottled water,candles,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
other vegetables,sugar,,,,,,,,,
waffles,hygiene articles,tea,,,,,,,,
soda,whole milk,,,,,,,,,
pork,rolls/buns,,,,,,,,,
pork,bottled water,,,,,,,,,
root vegetables,ham,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
cream cheese ,shopping bags,,,,,,,,,
frozen vegetables,yogurt,,,,,,,,,
pork,waffles,tropical fruit,pork,canned beer,whipped/sour cream,newspapers,cream cheese ,,,
soda,pork,,,,,,,,,
other vegetables,dessert,,,,,,,,,
pork,domestic eggs,UHT-milk,rolls/buns,,,,,,,
bottled water,soda,,,,,,,,,
soda,other vegetables,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
beverages,condensed milk,,,,,,,,,
tropical fruit,flour,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
sweet spreads,rolls/buns,,,,,,,,,
white wine,dessert,,,,,,,,,
berries,newspapers,frozen fish,,,,,,,,
margarine,cream cheese ,,,,,,,,,
liver loaf,frozen vegetables,soda,curd,,,,,,,
pip fruit,pot plants,,,,,,,,,
long life bakery product,rum,,,,,,,,,
sugar,berries,seasonal products,bottled beer,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
coffee,whole milk,,,,,,,,,
whole milk,condensed milk,,,,,,,,,
meat,sausage,cake bar,root vegetables,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
butter,newspapers,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
sliced cheese,candy,,,,,,,,,
onions,waffles,,,,,,,,,
root vegetables,yogurt,soda,shopping bags,oil,shopping bags,,,,,
other vegetables,butter,,,,,,,,,
pip fruit,coffee,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
ham,specialty bar,,,,,,,,,
tropical fruit,candy,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
other vegetables,salty snack,syrup,newspapers,oil,,,,,,
yogurt,hard cheese,,,,,,,,,
yogurt,pot plants,,,,,,,,,
sausage,soda,other vegetables,,,,,,,,
margarine,misc. beverages,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
sausage,finished products,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
frozen fish,white bread,,,,,,,,,
citrus fruit,cream cheese ,waffles,,,,,,,,
liquor,other vegetables,whole milk,other vegetables,,,,,,,
rolls/buns,newspapers,cereals,,,,,,,,
soda,berries,,,,,,,,,
butter milk,kitchen towels,,,,,,,,,
sausage,frankfurter,napkins,soda,,,,,,,
chicken,butter milk,,,,,,,,,
nuts/prunes,onions,,,,,,,,,
beef,dessert,,,,,,,,,
pip fruit,pastry,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
frankfurter,margarine,,,,,,,,,
soda,hamburger meat,,,,,,,,,
citrus fruit,dessert,,,,,,,,,
onions,shopping bags,seasonal products,,,,,,,,
beverages,shopping bags,,,,,,,,,
beverages,citrus fruit,tropical fruit,ready soups,canned fish,soda,,,,,
rolls/buns,domestic eggs,,,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
soda,whole milk,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
soda,fruit/vegetable juice,bottled beer,,,,,,,,
whole milk,seasonal products,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
canned beer,grapes,whole milk,dessert,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
curd,soda,,,,,,,,,
dessert,pickled vegetables,cat food,,,,,,,,
female sanitary products,frozen fish,,,,,,,,,
butter,white bread,,,,,,,,,
herbs,onions,brown bread,,,,,,,,
condensed milk,berries,tea,frozen vegetables,cat food,,,,,,
other vegetables,bottled water,,,,,,,,,
fish,specialty chocolate,,,,,,,,,
yogurt,yogurt,,,,,,,,,
soda,berries,,,,,,,,,
bottled water,liquor (appetizer),,,,,,,,,
sausage,whole milk,pastry,rolls/buns,coffee,bottled beer,chocolate,rolls/buns,,,
tropical fruit,butter,,,,,,,,,
ham,other vegetables,napkins,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
pork,whole milk,,,,,,,,,
misc. beverages,processed cheese,,,,,,,,,
frankfurter,processed cheese,,,,,,,,,
curd,dessert,cling film/bags,,,,,,,,
frozen potato products,domestic eggs,curd cheese,,,,,,,,
dental care,soda,,,,,,,,,
onions,other vegetables,,,,,,,,,
sausage,yogurt,,,,,,,,,
rolls/buns,cream cheese ,yogurt,,,,,,,,
rolls/buns,salty snack,waffles,,,,,,,,
dessert,rolls/buns,,,,,,,,,
pork,frozen vegetables,,,,,,,,,
sausage,tropical fruit,misc. beverages,root vegetables,,,,,,,
frozen fish,sausage,chocolate,rolls/buns,,,,,,,
yogurt,root vegetables,candles,,,,,,,,
sausage,soda,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
bottled water,flour,sugar,,,,,,,,
beef,coffee,,,,,,,,,
pip fruit,specialty bar,chocolate,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
root vegetables,yogurt,specialty bar,,,,,,,,
yogurt,domestic eggs,pasta,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
soda,brown bread,,,,,,,,,
hamburger meat,candy,,,,,,,,,
pastry,syrup,,,,,,,,,
yogurt,white bread,,,,,,,,,
sausage,red/blush wine,,,,,,,,,
pip fruit,pudding powder,,,,,,,,,
pip fruit,light bulbs,bottled water,ketchup,,,,,,,
beef,other vegetables,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
meat,liver loaf,,,,,,,,,
meat,newspapers,cleaner,,,,,,,,
frozen meals,chocolate,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
whole milk,meat,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
hamburger meat,sugar,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
margarine,canned beer,,,,,,,,,
whipped/sour cream,canned beer,sliced cheese,,,,,,,,
beef,pastry,candy,,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
meat,pip fruit,,,,,,,,,
pork,pastry,,,,,,,,,
berries,mayonnaise,,,,,,,,,
coffee,shopping bags,,,,,,,,,
hamburger meat,red/blush wine,salty snack,,,,,,,,
sausage,bottled beer,,,,,,,,,
rolls/buns,whole milk,onions,,,,,,,,
pastry,whole milk,,,,,,,,,
frozen vegetables,curd,rolls/buns,,,,,,,,
sausage,soda,,,,,,,,,
root vegetables,fruit/vegetable juice,berries,newspapers,chewing gum,,,,,,
curd,pastry,,,,,,,,,
other vegetables,red/blush wine,curd,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
bottled water,coffee,sugar,bottled water,,,,,,,
fish,meat,,,,,,,,,
salty snack,napkins,sugar,,,,,,,,
brown bread,whole milk,canned fish,brown bread,,,,,,,
frankfurter,condensed milk,,,,,,,,,
sausage,soda,newspapers,,,,,,,,
sausage,specialty bar,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
ham,beef,sliced cheese,butter milk,,,,,,,
berries,grapes,other vegetables,,,,,,,,
beef,yogurt,,,,,,,,,
pork,citrus fruit,,,,,,,,,
ham,pickled vegetables,,,,,,,,,
whole milk,whole milk,napkins,,,,,,,,
pip fruit,whipped/sour cream,rolls/buns,,,,,,,,
tropical fruit,butter milk,,,,,,,,,
frankfurter,shopping bags,rolls/buns,,,,,,,,
oil,misc. beverages,candy,yogurt,,,,,,,
sausage,rolls/buns,misc. beverages,processed cheese,,,,,,,
soda,rolls/buns,,,,,,,,,
dessert,chocolate,,,,,,,,,
grapes,soda,other vegetables,,,,,,,,
rolls/buns,dessert,,,,,,,,,
meat,detergent,canned beer,,,,,,,,
sausage,yogurt,,,,,,,,,
pastry,red/blush wine,pickled vegetables,,,,,,,,
yogurt,hygiene articles,,,,,,,,,
canned beer,onions,,,,,,,,,
grapes,sparkling wine,canned beer,pastry,,,,,,,
pot plants,grapes,brown bread,other vegetables,kitchen towels,,,,,,
soda,margarine,,,,,,,,,
pork,pork,rolls/buns,sparkling wine,,,,,,,
oil,yogurt,,,,,,,,,
liver loaf,bottled beer,,,,,,,,,
rolls/buns,grapes,potato products,,,,,,,,
shopping bags,butter,,,,,,,,,
candy,domestic eggs,,,,,,,,,
sausage,root vegetables,,,,,,,,,
tropical fruit,berries,other vegetables,yogurt,kitchen towels,napkins,,,,,
yogurt,napkins,rolls/buns,liquor (appetizer),,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
sausage,tea,,,,,,,,,
frankfurter,whole milk,whole milk,,,,,,,,
whole milk,yogurt,yogurt,rolls/buns,,,,,,,
fruit/vegetable juice,bottled water,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
canned beer,chocolate,,,,,,,,,
pastry,oil,potato products,,,,,,,,
yogurt,tea,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
ham,bottled beer,rolls/buns,,,,,,,,
soda,newspapers,,,,,,,,,
hamburger meat,curd,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
sausage,whole milk,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
sausage,brown bread,meat spreads,,,,,,,,
dish cleaner,whole milk,canned fish,,,,,,,,
whole milk,frozen dessert,popcorn,,,,,,,,
root vegetables,sausage,hamburger meat,rum,house keeping products,,,,,,
tropical fruit,bottled water,,,,,,,,,
root vegetables,candles,,,,,,,,,
oil,soda,sliced cheese,,,,,,,,
fruit/vegetable juice,margarine,,,,,,,,,
other vegetables,soda,,,,,,,,,
newspapers,other vegetables,,,,,,,,,
dessert,yogurt,,,,,,,,,
salty snack,frozen vegetables,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
sausage,beverages,,,,,,,,,
pip fruit,popcorn,rolls/buns,bottled water,,,,,,,
berries,other vegetables,,,,,,,,,
herbs,vinegar,shopping bags,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
ham,meat,,,,,,,,,
dessert,dog food,newspapers,,,,,,,,
ham,brown bread,,,,,,,,,
meat,condensed milk,,,,,,,,,
whole milk,margarine,,,,,,,,,
coffee,UHT-milk,,,,,,,,,
other vegetables,yogurt,specialty bar,,,,,,,,
napkins,waffles,,,,,,,,,
whole milk,soda,tea,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
butter,bottled water,bottled water,,,,,,,,
root vegetables,brown bread,,,,,,,,,
tropical fruit,beverages,,,,,,,,,
beef,sausage,,,,,,,,,
yogurt,whole milk,fruit/vegetable juice,,,,,,,,
newspapers,yogurt,napkins,,,,,,,,
pastry,liquor,shopping bags,,,,,,,,
yogurt,sausage,whole milk,shopping bags,white bread,dog food,baking powder,sliced cheese,,,
domestic eggs,bottled beer,,,,,,,,,
tropical fruit,soda,,,,,,,,,
frozen meals,yogurt,rolls/buns,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
whole milk,white bread,,,,,,,,,
bottled beer,fruit/vegetable juice,rolls/buns,,,,,,,,
bottled water,detergent,,,,,,,,,
yogurt,tropical fruit,bottled water,yogurt,,,,,,,
sausage,butter,cream cheese ,,,,,,,,
other vegetables,berries,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
ice cream,pastry,,,,,,,,,
whole milk,seasonal products,,,,,,,,,
citrus fruit,pot plants,,,,,,,,,
pip fruit,waffles,cat food,,,,,,,,
ham,curd,,,,,,,,,
roll products ,butter milk,,,,,,,,,
root vegetables,bottled beer,newspapers,margarine,domestic eggs,shopping bags,,,,,
brown bread,whole milk,white bread,,,,,,,,
hamburger meat,yogurt,curd cheese,frozen meals,mustard,soda,white wine,butter,,,
specialty chocolate,turkey,canned beer,soda,dental care,,,,,,
citrus fruit,whole milk,rolls/buns,pastry,whipped/sour cream,,,,,,
domestic eggs,specialty cheese,,,,,,,,,
pip fruit,candles,,,,,,,,,
tropical fruit,soda,,,,,,,,,
chocolate,cat food,,,,,,,,,
specialty bar,soda,,,,,,,,,
frozen vegetables,soft cheese,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
citrus fruit,citrus fruit,whole milk,newspapers,detergent,yogurt,salty snack,,,,
frozen meals,butter,whole milk,brandy,,,,,,,
rolls/buns,soda,curd,dessert,,,,,,,
chewing gum,rolls/buns,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
newspapers,whole milk,,,,,,,,,
tropical fruit,whole milk,vinegar,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
UHT-milk,roll products ,salt,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
canned fish,whole milk,,,,,,,,,
sausage,processed cheese,,,,,,,,,
butter,sweet spreads,sliced cheese,,,,,,,,
specialty chocolate,frozen vegetables,other vegetables,cream cheese ,,,,,,,
hamburger meat,canned beer,other vegetables,canned fruit,,,,,,,
newspapers,rolls/buns,,,,,,,,,
hamburger meat,pastry,,,,,,,,,
newspapers,whipped/sour cream,,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
butter,pastry,other vegetables,other vegetables,,,,,,,
other vegetables,dessert,,,,,,,,,
cake bar,white bread,newspapers,,,,,,,,
canned beer,whole milk,soda,,,,,,,,
newspapers,pip fruit,dishes,,,,,,,,
sausage,yogurt,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
sausage,candles,,,,,,,,,
brown bread,frozen meals,herbs,whole milk,hard cheese,,,,,,
brown bread,other vegetables,,,,,,,,,
syrup,whole milk,,,,,,,,,
whole milk,dog food,pastry,,,,,,,,
root vegetables,flour,female sanitary products,packaged fruit/vegetables,brown bread,rolls/buns,rolls/buns,sauces,,,
bottled beer,bottled water,,,,,,,,,
grapes,root vegetables,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
whipped/sour cream,cake bar,,,,,,,,,
cereals,sugar,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
pork,other vegetables,,,,,,,,,
berries,hard cheese,dishes,,,,,,,,
citrus fruit,soda,,,,,,,,,
soda,tropical fruit,domestic eggs,domestic eggs,,,,,,,
citrus fruit,bottled water,specialty bar,,,,,,,,
chicken,margarine,,,,,,,,,
frankfurter,margarine,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
tidbits,cream cheese ,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
frozen potato products,chocolate marshmallow,,,,,,,,,
white bread,beverages,,,,,,,,,
soft cheese,cat food,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
other vegetables,pip fruit,napkins,,,,,,,,
ice cream,onions,soda,,,,,,,,
salty snack,shopping bags,,,,,,,,,
bottled beer,grapes,candy,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
rolls/buns,root vegetables,frozen vegetables,waffles,,,,,,,
berries,tropical fruit,,,,,,,,,
instant coffee,onions,processed cheese,dental care,,,,,,,
sausage,soda,pastry,flower (seeds),newspapers,,,,,,
whole milk,flour,,,,,,,,,
brandy,ham,root vegetables,whole milk,,,,,,,
beef,roll products ,,,,,,,,,
napkins,skin care,,,,,,,,,
soda,misc. beverages,,,,,,,,,
newspapers,cookware,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
whole milk,onions,,,,,,,,,
bottled water,beverages,,,,,,,,,
chocolate marshmallow,yogurt,soda,,,,,,,,
tropical fruit,flour,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
soda,other vegetables,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
tropical fruit,yogurt,pip fruit,yogurt,yogurt,,,,,,
soda,butter milk,soda,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
frankfurter,frankfurter,tropical fruit,berries,,,,,,,
chocolate,margarine,,,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,cookware,,,,,,,,,
domestic eggs,curd cheese,,,,,,,,,
rolls/buns,salty snack,salty snack,,,,,,,,
berries,whole milk,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
hamburger meat,tropical fruit,cat food,whole milk,artif. sweetener,packaged fruit/vegetables,,,,,
citrus fruit,beverages,,,,,,,,,
dessert,whole milk,,,,,,,,,
hamburger meat,tropical fruit,,,,,,,,,
soft cheese,berries,,,,,,,,,
sausage,pastry,,,,,,,,,
liquor,bathroom cleaner,,,,,,,,,
whole milk,butter,,,,,,,,,
pip fruit,newspapers,fruit/vegetable juice,,,,,,,,
sausage,bottled beer,,,,,,,,,
canned beer,newspapers,,,,,,,,,
tropical fruit,cooking chocolate,,,,,,,,,
whole milk,sugar,,,,,,,,,
other vegetables,tidbits,dental care,,,,,,,,
onions,domestic eggs,long life bakery product,pastry,,,,,,,
butter milk,soda,seasonal products,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
pork,other vegetables,,,,,,,,,
whole milk,tropical fruit,root vegetables,Instant food products,margarine,,,,,,
bottled beer,bottled beer,,,,,,,,,
soda,chocolate,,,,,,,,,
salt,ice cream,yogurt,canned beer,,,,,,,
domestic eggs,rolls/buns,,,,,,,,,
other vegetables,whole milk,semi-finished bread,,,,,,,,
brown bread,frozen dessert,,,,,,,,,
pip fruit,bottled water,salt,,,,,,,,
UHT-milk,sugar,,,,,,,,,
meat,frozen meals,whole milk,domestic eggs,,,,,,,
soda,whipped/sour cream,,,,,,,,,
citrus fruit,other vegetables,dessert,bottled beer,,,,,,,
